ID,SKU,IMAGE,PRICE,TITLE,HANDLE,CPU,GPU,RAM,STORAGE,COOLER,MOTHERBOARD,CASE,PSU,INVENTORY,COMPARE PRICE,TYPE,CATEGORY,USECASE,form_factor,persona_tags,style_tags,strengths,target_resolution,score_res_1080p,score_res_1440p,score_res_1440p_heavy,score_res_4k_light,score_res_4k_heavy,score_game_fortnite,score_game_gta_v,score_game_cod,score_game_diablo,score_game_starfield,score_game_league,score_game_sim_racing,score_game_flight_sim,score_game_cyberpunk,score_game_apex,score_game_valorant,score_game_bg3,score_work_documents,score_work_creative,score_work_coding,score_work_3d,score_study_assignments,score_study_online_classes,score_study_creative_software,score_study_stem,score_essentials_browsing,score_essentials_streaming,score_essentials_office_apps,score_essentials_light_gaming
RTS_11,RTS-SR-ZMSE-BLUEKOI-V3,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/ZEALMINIBLUEKOI.jpg?v=1754272991,2095,BLUE KOI,https://aftershockpc.com.au/products/blue-koi-r5-7500f-rtx-5070,AMD Ryzen 5 7500F | 5.0GHz | 6 Cores 12 Threads,Zotac RTX 5070 Twin Edge OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB) - White,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Zeal M 2024 White Edition,650W Gigabyte P650SS 80+ Silver,14,2700,Desktop,RTS,Gaming,Desktop,"[""Engineering Student""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,6,6,5,6,7,7,6,6,6,5,6,7,10,6,7,10,10,10,10
RTS_12,RTS-AU-LVL-4X-BOLT-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/BOLTLVL4_8abe983f-a4ff-4109-b185-2285ae7cfbf5.jpg?v=1754272485,1525,BOLT : LVL 4,https://aftershockpc.com.au/products/bolt-lvl-4-r5-7600-rx-9060-xt-8gb,AMD Ryzen 5 7600 | 5.1 GHz | 6 Cores 12 Threads,Powercolor Radeon RX 9060XT Reaper - 8GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Plus Wi-Fi - DDR5,Deepcool Macube 110 - Black,650W Inwin B65E 80+ Bronze,4,1800,Desktop,RTS,Gaming,Desktop,"[""Engineering Student"", ""Light Gamer""]","[""RGB Showcase""]","[""budget-friendly""]",[],6,5,4,3,2,5,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,7,10,6,7,10,10,10,7
RTS_13,MPC-MOTO-BULL,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/DSC00202_69cf81fd-e5a8-4f09-b622-1f786b2024c6.png?v=1752215039,2189,BULL CHARGE,https://aftershockpc.com.au/products/bull-charge-r7-7700-rtx-4070,AMD Ryzen 7 7700 | 5.3 GHz | 8 Cores 16 Threads,Gigabyte RTX 4070 Windforce OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock Glacier Mirror 360mm,Gigabyte B650M Gaming Wi-Fi - DDR5,Bull Charge Chassis,650W MSI A650BN 80+ Bronze,1,2599,Desktop,RTS,Gaming,Desktop,"[""Home Office"", ""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
RTS_14,RTS-SR-ZMSE-CHERRY-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/ZEALMINICHERRYBLOSSOM.jpg?v=1754272964,2095,CHERRY BLOSSOM,https://aftershockpc.com.au/products/cherry-blossom-r5-7600-rtx-5070,AMD Ryzen 5 7600 | 5.1 GHz | 6 Cores 12 Threads,Zotac RTX 5070 Twin Edge OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB) - White,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Zeal M 2024 White Edition,650W Gigabyte P650SS 80+ Silver,8,2700,Desktop,RTS,Gaming,Desktop,"[""Engineering Student""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,6,6,5,6,7,7,6,6,6,5,6,7,10,6,7,10,10,10,10
RTS_15,RTS-AU-LVL-4W-5060,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CLOUDLVL4_ec13fedf-d803-44fa-a640-2d1fd7177995.jpg?v=1754272548,1595,CLOUD : LVL 4,https://aftershockpc.com.au/products/cloud-lvl-4-r5-7600-rtx-5060,AMD Ryzen 5 7600 | 5.1 GHz | 6 Cores 12 Threads,MSI RTX 5060 8G Ventus OC White - 8GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB) - White,1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Plus Wi-Fi - DDR5,Aftershock Rapid Lite 2023 - White,650W MSI A650BN 80+ Bronze,6,1900,Desktop,RTS,Gaming,Desktop,"[""Engineering Student"", ""Light Gamer""]","[""RGB Showcase"", ""White Build""]","[""budget-friendly""]",[],6,5,4,3,2,5,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,7,10,6,7,10,10,10,7
RTS_16,RTS-SR-LVL-7W-CLOUD-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CLOUDLVL7_bc27ab91-2302-4a25-94bc-d6f9fdd799ab.jpg?v=1754272730,1995,CLOUD : LVL 7,https://aftershockpc.com.au/products/cloud-lvl-7-r5-7400f-rtx-5070,AMD Ryzen 5 7400F | 4.7GHz | 6 Cores 12 Threads,Zotac RTX 5070 Twin Edge OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB) - White,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Rapid Lite 2023 - White,650W Gigabyte P650SS 80+ Silver-White,57,2600,Desktop,RTS,Gaming,Desktop,"[""1440p Gamer""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,6,5,7,6,5,6,6,5,6,7,7,5,6,6,5,5,7,10,6,6,10,10,10,10
RTS_17,RTS-SR-LVL-7W-CLOUD-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CLOUDLVL7_84d4dfff-ad6f-46a8-9e5e-f8c5877b2b7a.jpg?v=1754272930,2045,CLOUD : LVL 7,https://aftershockpc.com.au/products/cloud-lvl-7-r5-7400f-rtx-5071,AMD Ryzen 5 7500F | 5.0GHz | 6 Cores 12 Threads,Zotac RTX 5070 Twin Edge OC - 12GB,32GB Lexar Thor RGB 6000MHz (2x16GB) - White,1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - White,Gigabyte B650M Gaming Wi-Fi - DDR5,Aftershock Rapid Lite 2023 - White,650W Gigabyte P650SS 80+ Silver-White,46,2700,Desktop,RTS,Gaming,Desktop,"[""Engineering Student""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,6,6,5,6,7,7,6,6,6,5,6,7,10,6,7,10,10,10,10
RTS_18,CLR-S52040,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AftershockRapidBlack_70201be3-f73e-4c8d-b3cc-67027dce2937.png?v=1753688752,2699,CLR RAPID,https://aftershockpc.com.au/products/clr-rapid-i5-14600kf-rtx-4070,Intel Core i5-14600KF | 5.3 GHz | 14 Cores 20 Threads,Gigabyte RTX 4070 Super Windforce OC - 12GB,32GB Lexar Ares RGB 6400MHz CL32 DDR5 (2x16GB),2TB Lexar NM790 Gen4 SSD (R 7400MBs | W 6500MBs),Aftershock Glacier Mirror 240mm,Asus Prime B760M­-A CSM Wi-Fi | DDR4,Aftershock Rapid Black,750W Inwin 80+ Gold,1,3100,Desktop,RTS,Gaming,Desktop,"[""Home Office"", ""Engineering Student""]","[""RGB Showcase""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
RTS_19,WS-RTS-A3-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/A3WoodSelector.webp?v=1751191900,3195,CREATOR,https://aftershockpc.com.au/products/creator-ultra-7-265k-rtx-4060ti,Intel Core Ultra 7 265K | 5.5 GHz | 20 Cores 20 Threads,Gigabyte RTX 4060Ti Windforce OC V2 - 16GB,32GB Crucial Pro 5600MHz (2x16GB),2TB Gen4 Kingston KC3000 M.2. NVME (R 7000MBs | W 7000MBs),Aftershock Glacier Mirror 360mm,Asus Prime Z890M-PLUS CSM - DDR5,Lian Li A3 Dan - Black Wood,850W Inwin P85II 80+ Gold,-1,3700,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Engineering Student"", ""Light Gamer""]","[""Compact"", ""Workstation Style""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,6,5,5,5,6,7,6,6,5,6,7,5,7,6,7,6,8,10,6,8,10,10,10,7
RTS_20,WS-RTS-UE-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CreatorUnrealEngine.png?v=1754274275,5799,CREATOR : UNREAL ENGINE,https://aftershockpc.com.au/products/creator-unreal-engine-ultra-9-285k-rtx-5081,Intel Core Ultra 9 285K | 5.7 GHz | 24 Cores 24 Threads,Asus RTX 5080 TUF Gaming OC - 16GB,64GB Crucial Pro 5600MHz (2x32GB),2TB Gen4 Kingston KC3000 M.2. NVME (R 7000MBs | W 7000MBs),Aftershock Glacier Mirror 360mm,Asus Prime Z890-P Wi-Fi CSM - DDR5,Fractal Design North Charcoal - Walnut Wood - Glass,850W Inwin P85II 80+ Gold,6,7000,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""Minimalist"", ""Workstation Style""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,9,9,9,9,10,9,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,10,10
RTS_21,WS-RTS-AU-CREATOR-A3-WH-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CreatorA3w_f95e03c4-183c-40f6-9256-b7f55af0b339.png?v=1754274202,2795,CREATOR A3W : 14 CORE,https://aftershockpc.com.au/products/creator-a3w-14-core-12gb-vram-32gb-ddr5-1,Intel Core Ultra 5 245K | 5.5 GHz | 14 Cores 14 Threads,Asus RTX 5070 Prime OC - 12GB,32GB Crucial Pro 5600MHz (2x16GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),DeepCool AK400 - Black,Gigabyte B860M Eagle Wi-Fi 6E - DDR5,Lian Li A3 Dan - White,750W Inwin 80+ Gold,3,3200,Desktop,RTS,Workstation,Desktop,"[""Engineering Student""]","[""Compact"", ""Workstation Style"", ""White Build""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,6,7,6,6,6,6,5,6,7,7,6,6,6,5,6,7,10,6,7,10,10,10,10
RTS_22,CLR-PJ-109749-86-1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CREATORHUSH-BLACKPJ-109749-86-1-HEROASSET.webp?v=1753671297,1499,CREATOR HUSH,https://aftershockpc.com.au/products/creator-hush-r5-7600-rtx-4060,AMD Ryzen 5 7600 | 5.1 GHz | 6 Cores 12 Threads,Asus RTX 4060 Dual OC V2 - 8GB,32GB Team T-Create Expert 6000MHz (2x16GB) White,1TB Gen4 Silicon Power UD90 M.2. NVME (R 5000MBs | W 3800MBs),DeepCool AK400 - White,Asus Prime B650M-A WIFI II - DDR5,Fractal Design Pop Silent - White TG,650W MSI A650BN 80+ Bronze,1,1900,Desktop,RTS,Gaming,Desktop,"[""Student"", ""Budget-Conscious"", ""Engineering Student"", ""Light Gamer""]","[""Minimalist"", ""Workstation Style"", ""White Build""]","[""budget-friendly"", ""quiet-operation""]",[],6,5,4,3,2,5,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,7,10,6,7,10,10,10,7
RTS_23,WS-RTS-A3-PRO-AMD,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/CreatorPro_0fb6d106-0484-418d-a05e-75307b5fb70c.png?v=1754274227,3995,CREATOR PRO AMD,https://aftershockpc.com.au/products/creator-pro-amd-r7-9700x-rtx-5070ti,AMD Ryzen 7 9700X | 5.5GHz | 8 Core 16 Threads,Asus RTX 5070Ti Prime OC - 16GB,64GB Crucial Pro 5600MHz (2x32GB),2TB Gen4 Kingston KC3000 M.2. NVME (R 7000MBs | W 7000MBs),Aftershock Glacier Mirror 360mm,Asus B850M TUF Gaming Plus Wi-Fi - DDR5,Lian Li A3 Dan - Black Wood,850W Inwin P85II 80+ Gold,5,4600,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Engineering Student""]","[""Compact"", ""Workstation Style"", ""Premium Aesthetic""]","[""excellent-1440p-performance""]","[""1080p"", ""1440p""]",8,7,5,4,3,7,7,7,7,7,8,7,7,7,8,9,7,8,7,7,7,8,10,7,8,10,10,10,10
RTS_24,MPC-EOFY-NIMBUS-MINI,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/NIMBUS_1.png?v=1754282087,4300,EOFY NIMBUS MINI : R7 7800X3D | RTX 5080,https://aftershockpc.com.au/products/eofy-nimbus-mini-r7-7800x3d-rtx-5080,AMD Ryzen 7 7800X3D | 5.0 GHz | 8 Cores 16 Threads,Gigabyte RTX 5080 Gaming OC - 16GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Tryx Panorama SE 360mm Radiator,Gigabyte B650 Eagle AX - DDR5,Aftershock Nimbus Mini - Black,850W Inwin P85II 80+ Gold,1,,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""Compact"", ""RGB Showcase""]","[""excellent-1440p-performance"", ""compact-form-factor"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,8,9,8,8,10,9,8,8,10,10,8,8,8,8,8,9,10,8,8,10,10,10,10
RTS_25,RTS-SG-LVL-10-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/RTS-SG-LVL-10-V1.webp?v=1749625741,6995,EOFY ZEAL : LVL 10,https://aftershockpc.com.au/products/zeal-lvl-10-r7-9800x3d-rtx-5090,AMD Ryzen 7 9800X3D | 8 Cores 16 Threads,ZOTAC RTX 5090 - 32GB,48GB KLEVV Cras V RGB DDR5 6400MHz CL32 (24x2),2TB Lexar NQ780 Gen4 SSD (R 7000MBs | W 5000MBs),Thermalright Aqua Elite 360 Black ARGB V3,Gigabyte X870 Eagle WIFI7,Aftershock Zeal 2.0 Black,1000W Deepcool ATX3.0 (Cybenetics Platinum),1,8000,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""RGB Showcase""]","[""excellent-1440p-performance"", ""best-for-creative-workflows"", ""4k-capable""]","[""1080p"", ""1440p""]",10,10,8,7,6,10,9,10,9,9,10,10,8,9,10,10,9,8,8,8,9,9,10,9,8,10,10,10,10
RTS_26,RTS-AU-LVL-4-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/FLOWLVL4_abeace5d-4798-4221-98ee-65643e5921d1.jpg?v=1754272513,1595,FLOW : LVL 4,https://aftershockpc.com.au/products/flow-lvl-4-r5-7600-rtx-5060,AMD Ryzen 5 7600 | 5.1 GHz | 6 Cores 12 Threads,Gigabyte RTX 5060 Windforce Max OC - 8GB,32GB Silicon Power XPOWER Storm 6000MHz RGB C36 (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),Aftershock M-42 Frost Air Cooler - Black,Gigabyte B650M Gaming Plus Wi-Fi - DDR5,Gigabyte C102 Glass,750W Inwin 80+ Gold,14,1900,Desktop,RTS,Gaming,Desktop,"[""Engineering Student"", ""Light Gamer""]","[""RGB Showcase""]","[""budget-friendly""]",[],6,5,4,3,2,5,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,7,10,6,7,10,10,10,7
